City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
187,Saint-Pierre,-21.3393,55.4781,89.19,67,20,5.75,RE,2022-03-26 09:34:14
188,Kangly,44.2544,43.0308,42.85,75,75,11.18,RU,2022-03-26 09:34:15
189,Ponta Do Sol,32.6667,-17.1,63.23,79,100,10.58,PT,2022-03-26 09:34:17
190,Tromso,69.6496,18.957,23.02,74,20,11.5,NO,2022-03-26 09:34:18
191,Newport,51.5877,-2.9984,55.08,67,0,11.27,GB,2022-03-26 09:30:13
192,Karpathos,35.507,27.2132,64.36,72,40,23.02,GR,2022-03-26 09:34:20
193,Tuatapere,-46.1333,167.6833,53.98,88,65,1.23,NZ,2022-03-26 09:34:21
194,Mezhdurechensk,53.6942,88.0603,33.64,86,100,12.44,RU,2022-03-26 09:34:21
195,Pasni,25.2631,63.471,81.01,53,0,16.35,PK,2022-03-26 09:34:22
196,Deputatskiy,69.3,139.9,-11.87,99,21,7.76,RU,2022-03-26 09:34:24
197,Tiksi,71.6872,128.8694,-9.44,100,59,0.83,RU,2022-03-26 09:34:25
198,Ostrovnoy,68.0531,39.5131,23.27,65,100,20.74,RU,2022-03-26 09:34:26
199,Half Moon Bay,37.4636,-122.4286,53.02,86,0,3.44,US,2022-03-26 09:30:41
200,Lorengau,-2.0226,147.2712,81.48,77,100,7.27,PG,2022-03-26 09:34:28
201,Balabac,7.9868,117.0645,83.57,72,4,9.44,PH,2022-03-26 09:34:29
202,Pingliang,35.5392,106.6861,53.74,22,100,12.95,CN,2022-03-26 09:34:30
203,Dunedin,-45.8742,170.5036,58.8,90,57,1.01,NZ,2022-03-26 09:34:31
204,Erzin,36.9559,36.2,58.26,53,33,10.38,TR,2022-03-26 09:34:31
205,Tiarei,-17.5333,-149.3333,78.82,74,78,12.12,PF,2022-03-26 09:34:32
206,Hasaki,35.7333,140.8333,64.8,83,100,33.2,JP,2022-03-26 09:34:33
207,Lebu,-37.6167,-73.65,54.01,89,47,10.47,CL,2022-03-26 09:34:34
208,San Ramon,37.7799,-121.978,51.87,86,0,6.91,US,2022-03-26 09:31:15
209,Edd,13.9297,41.6925,81.23,64,88,16.53,ER,2022-03-26 09:34:36
210,Yulara,-25.2406,130.9889,89.44,20,18,6.91,AU,2022-03-26 09:34:37
211,Port Keats,-14.25,129.55,81.99,77,100,5.17,AU,2022-03-26 09:34:38
212,George,-33.963,22.4617,63.95,72,20,11.5,ZA,2022-03-26 09:34:39
213,Pisco,-13.7,-76.2167,66.25,77,0,5.75,PE,2022-03-26 09:34:40
214,Kruisfontein,-34.0033,24.7314,66.88,58,40,11.61,ZA,2022-03-26 09:34:41
215,Ust-Nera,64.5667,143.2,-6.57,100,94,3.09,RU,2022-03-26 09:34:42
216,Lazaro Cardenas,17.9583,-102.2,68.85,62,100,4.97,MX,2022-03-26 09:31:06
217,Kavaratti,10.5669,72.642,82.31,64,2,0.98,IN,2022-03-26 09:34:05
218,Derbent,42.0678,48.2899,43.29,75,75,11.03,RU,2022-03-26 09:34:45
219,Wum,6.3833,10.0667,90.1,20,69,4.45,CM,2022-03-26 09:34:46
