City_ID,City,Country,Lat,Lng,Max Temp,%Humidity,%Cloudiness,Wind Speed,Description
160,Andenes,NO,69.3143,16.1194,24.93,68,75,26.46,broken clouds
161,Nakamura,JP,32.9833,132.9333,60.67,61,100,1.59,overcast clouds
162,Cartagena,CO,10.3997,-75.5144,80.22,83,75,11.5,broken clouds
163,Pevek,RU,69.7008,170.3133,-7.51,93,24,7.45,few clouds
164,Naantali,FI,60.4674,22.0243,43.11,87,0,9.22,clear sky
165,Souillac,MU,-20.5167,57.5167,75.58,94,40,3.44,scattered clouds
166,Lakatoro,VU,-16.0999,167.4164,83.88,76,100,3.47,overcast clouds
167,Kavaratti,IN,10.5669,72.642,82.65,75,55,6.64,broken clouds
168,Fort Nelson,CA,58.8053,-122.7002,35.19,51,75,0.0,broken clouds
169,Bahia Honda,CU,22.9036,-83.1592,69.57,58,0,9.62,clear sky
170,Marilandia,BR,-19.4128,-40.5417,72.81,95,5,2.21,clear sky
171,Ilulissat,GL,69.2167,-51.1,20.19,63,66,9.75,broken clouds
172,Riyadh,SA,24.6877,46.7219,57.34,28,0,7.47,clear sky
173,Cap Malheureux,MU,-19.9842,57.6142,75.47,85,1,1.01,clear sky
174,Emerald,AU,-23.5333,148.1667,78.35,69,0,5.75,clear sky
175,Ocampo,MX,21.65,-101.5,64.2,18,4,5.79,clear sky
176,Hami,CN,42.8,93.45,48.4,38,100,14.5,overcast clouds
177,Tura,IN,25.5198,90.2201,72.93,51,0,3.27,clear sky
178,Tuktoyaktuk,CA,69.4541,-133.0374,-5.8,65,0,9.22,clear sky
179,Longyearbyen,SJ,78.2186,15.6401,4.84,72,88,17.27,overcast clouds
180,Sayyan,YE,15.1718,44.3244,49.6,28,28,6.8,scattered clouds
181,Rocha,UY,-34.4833,-54.3333,61.45,55,0,5.28,clear sky
182,Belyy Yar,RU,53.6039,91.3903,9.86,70,0,2.24,clear sky
183,Coihaique,CL,-45.5752,-72.0662,48.15,87,75,10.36,light rain
184,Naze,JP,28.3667,129.4833,59.92,61,96,17.31,overcast clouds
185,Lata,PT,40.1629,-8.3327,56.07,60,100,8.81,overcast clouds
186,Jagdalpur,IN,19.0667,82.0333,70.56,21,54,1.12,broken clouds
187,Khani,GE,41.9563,42.9566,26.17,97,100,3.71,light snow
188,Luderitz,NA,-26.6481,15.1594,63.12,72,0,4.32,clear sky
189,Portland,US,45.5234,-122.6762,68.83,60,100,0.0,overcast clouds
190,Louviers,FR,49.2167,1.1667,52.61,75,13,4.61,few clouds
191,Korla,CN,41.7597,86.1469,47.53,21,62,9.57,broken clouds
192,Launceston,AU,-41.45,147.1667,66.79,83,100,8.05,overcast clouds
193,Atikokan,CA,48.7555,-91.6216,8.53,92,100,3.65,overcast clouds
194,Aguie,NE,13.506,7.7786,69.85,10,1,10.51,clear sky
195,Bullhead City,US,35.1478,-114.5683,92.62,7,40,20.71,scattered clouds
196,Edson,CA,53.5835,-116.4356,35.74,87,100,8.05,overcast clouds
197,Treinta Y Tres,UY,-33.2333,-54.3833,61.25,69,0,6.85,clear sky
198,Helong,CN,42.5397,128.9972,38.95,54,0,8.9,clear sky
199,Jinchang,CN,38.4953,102.1739,51.55,17,99,2.21,overcast clouds
200,Damietta,EG,31.4165,31.8133,56.64,72,0,8.5,clear sky
201,Nikolsk,RU,53.7189,46.0712,20.23,89,100,15.03,overcast clouds
202,Vestmannaeyjar,IS,63.4427,-20.2734,41.99,87,100,33.38,overcast clouds
203,Camacha,PT,33.0833,-16.3333,56.62,82,20,6.91,few clouds
204,Namatanai,PG,-3.6667,152.4333,83.8,74,80,7.99,light rain
205,Enumclaw,US,47.2043,-121.9915,65.43,65,100,5.01,overcast clouds
206,Puerto Quijarro,BO,-17.7833,-57.7667,73.78,79,16,0.92,few clouds
207,San Policarpo,PH,12.1791,125.5072,81.48,85,34,13.44,scattered clouds
208,Matara,LK,5.9485,80.5353,76.64,89,5,5.41,clear sky
209,Kahului,US,20.8947,-156.47,84.22,54,40,18.41,scattered clouds
210,Coquimbo,CL,-29.9533,-71.3436,62.87,81,4,3.29,clear sky
211,Atar,MR,20.5169,-13.0499,73.22,19,100,3.94,overcast clouds
212,New Norfolk,AU,-42.7826,147.0587,63.9,74,100,2.48,light rain
213,San Isidro,PE,-12.1167,-77.05,71.19,73,0,8.05,clear sky
214,Phan Thiet,VN,10.9333,108.1,82.92,65,93,4.5,overcast clouds
215,Zhigalovo,RU,54.8097,105.1578,12.24,90,96,4.32,overcast clouds
216,Liverpool,GB,53.4106,-2.9779,54.28,78,100,4.61,overcast clouds
217,Sanski Most,BA,44.7653,16.6656,48.51,66,0,3.33,clear sky
218,Coahuayana,MX,18.7333,-103.6833,74.37,61,0,3.62,clear sky
